,词频,发音,词性,原型
弾い,35,ヒイ,動詞,弾く
道のり,35,ミチノリ,名詞,道のり
相談,35,ソウダン,名詞,相談
すがる,35,スガル,動詞,すがる
きらめい,35,キラメイ,動詞,きらめく
ぱらぱら,35,パラパラ,副詞,ぱらぱら
生き抜い,35,イキヌイ,動詞,生き抜く
導,35,シルベ,名詞,導
いとしい,35,イトシイ,形容詞,いとしい
変態,35,ヘンタイ,名詞,変態
機会,35,キカイ,名詞,機会
七つ,35,ナナツ,名詞,七つ
沿っ,35,ソッ,動詞,沿う
連絡,35,レンラク,名詞,連絡
あれこれ,35,アレコレ,名詞,あれこれ
拝借,35,ハイシャク,名詞,拝借
もがき,35,モガキ,動詞,もがく
おとぎ話,35,オトギバナシ,名詞,おとぎ話
もらえる,35,モラエル,動詞,もらえる
揃っ,35,ソロッ,動詞,揃う
返っ,35,カエッ,動詞,返る
味気,35,アジケ,名詞,味気
完,35,カン,名詞,完
凍てつく,35,イテツク,動詞,凍てつく
ばれ,35,バレ,動詞,ばれる
移ろ,35,ウツロ,動詞,移る
進める,35,ススメル,動詞,進める
通じ,35,ツウジ,動詞,通じる
繋ご,35,ツナゴ,動詞,繋ぐ
終電,35,シュウデン,名詞,終電
何気なく,35,ナニゲナク,形容詞,何気ない
逃げ出さ,35,ニゲダサ,動詞,逃げ出す
ばっ,35,バッ,動詞,ばる
涙し,35,ナミダシ,動詞,涙す
万歳,35,バンザイ,名詞,万歳
決まり,35,キマリ,動詞,決まる
ノリ,35,ノリ,名詞,ノリ
ラヴ,35,ラヴ,名詞,ラヴ
制服,35,セイフク,名詞,制服
なるほど,35,ナルホド,感動詞,なるほど
差し出す,35,サシダス,動詞,差し出す
来れ,35,クレ,動詞,来る
深夜,35,シンヤ,名詞,深夜
集団,35,シュウダン,名詞,集団
使わ,35,ツカワ,動詞,使う
解き放て,35,トキハナテ,動詞,解き放つ
他愛,35,タアイ,名詞,他愛
終え,35,オエ,動詞,終える
シンプル,35,シンプル,名詞,シンプル
あそぼ,35,アソボ,動詞,あそぶ
数多,35,アマタ,副詞,数多
意,35,イ,名詞,意
浮かれ,35,ウカレ,動詞,浮かれる
重く,35,オモク,形容詞,重い
下り,35,クダリ,名詞,下り
生ん,35,ウン,動詞,生む
させる,35,サセル,動詞,させる
重たい,35,オモタイ,形容詞,重たい
郷,35,サト,名詞,郷
いわ,35,イワ,動詞,いう
ユメ,35,ユメ,名詞,ユメ
散,35,チ,動詞,散る
根拠,35,コンキョ,名詞,根拠
とわ,35,トワ,名詞,とわ
取ら,35,トラ,動詞,取る
紅い,35,アカイ,形容詞,紅い
狂え,35,クルエ,動詞,狂う
ほしかっ,35,ホシカッ,形容詞,ほしい
卑怯,35,ヒキョウ,名詞,卑怯
有限,35,ユウゲン,名詞,有限
聖,35,キヨシ,名詞,聖
反,35,ハン,接頭詞,反
違え,35,チガエ,動詞,違える
漏れ,35,モレ,名詞,漏れ
吹け,35,フケ,動詞,吹ける
ごろ,35,ゴロ,名詞,ごろ
海岸,35,カイガン,名詞,海岸
叩け,35,ハタケ,動詞,叩ける
救う,35,スクウ,動詞,救う
輝け,35,カガヤケ,動詞,輝く
遠慮,35,エンリョ,名詞,遠慮
照,35,アキラ,名詞,照
さまよう,35,サマヨウ,動詞,さまよう
横目,35,ヨコメ,名詞,横目
きせ,35,キセ,動詞,きせる
偽,35,ニセ,接頭詞,偽
熊,35,クマ,名詞,熊
掠れ,35,カスレ,動詞,掠れる
美味しい,35,オイシイ,形容詞,美味しい
酸素,35,サンソ,名詞,酸素
従う,34,シタガウ,動詞,従う
大声,34,オオゴエ,名詞,大声
羽ばたい,34,ハバタイ,動詞,羽ばたく
覚ます,34,サマス,動詞,覚ます
たどり着く,34,タドリツク,動詞,たどり着く
走ら,34,ハシラ,動詞,走る
重なり,34,カサナリ,動詞,重なる
ペース,34,ペース,名詞,ペース
弱気,34,ヨワキ,名詞,弱気
広,34,ヒロ,接頭詞,広
疑問,34,ギモン,名詞,疑問
古び,34,フルビ,動詞,古びる
燦々,34,サンサン,名詞,燦々
人混み,34,ヒトゴミ,名詞,人混み
登っ,34,ノボッ,動詞,登る
タクシー,34,タクシー,名詞,タクシー
ふん,34,フン,感動詞,ふん
突っ,34,ツッ,接頭詞,突っ
老い,34,オイ,動詞,老いる
地点,34,チテン,名詞,地点
光景,34,コウケイ,名詞,光景
カタバミ,34,カタバミ,名詞,カタバミ
昨夜,34,サクヤ,名詞,昨夜
眉,34,マユ,名詞,眉
ピン,34,ピン,副詞,ピン
歩ける,34,アルケル,動詞,歩ける
それら,34,ソレラ,名詞,それら
躰,34,カラダ,名詞,躰
当たり,34,アタリ,動詞,当たる
レコード,34,レコード,名詞,レコード
れん,34,レン,名詞,れん
突き抜け,34,ツキヌケ,動詞,突き抜ける
説明,34,セツメイ,名詞,説明
素晴らしき,34,スバラシキ,形容詞,素晴らしい
エネルギー,34,エネルギー,名詞,エネルギー
葦,34,アシ,名詞,葦
戦場,34,センジョウ,名詞,戦場
染み,34,シミ,動詞,染みる
解答,34,カイトウ,名詞,解答
自問自答,34,ジモンジトウ,名詞,自問自答
粋,34,イキ,名詞,粋
ずいぶん,34,ズイブン,副詞,ずいぶん
読み,34,ヨミ,動詞,読む
量,34,リョウ,名詞,量
麻痺,34,マヒ,名詞,麻痺
つまずい,34,ツマズイ,動詞,つまずく
スタイル,34,スタイル,名詞,スタイル
まどろみ,34,マドロミ,動詞,まどろむ
轍,34,ワダチ,名詞,轍
負え,34,オエ,動詞,負える
ピカ,34,ピカ,名詞,ピカ
繰り返さ,34,クリカエサ,動詞,繰り返す
死体,34,シタイ,名詞,死体
怪我,34,ケガ,名詞,怪我
はみ出し,34,ハミダシ,動詞,はみ出す
では,34,デハ,接続詞,では
相対,34,ソウタイ,名詞,相対
はにかん,34,ハニカン,動詞,はにかむ
響,34,ヒビキ,名詞,響
面白い,34,オモシロイ,形容詞,面白い
明るく,34,アカルク,形容詞,明るい
固め,34,カタメ,動詞,固める
パ,34,パ,名詞,パ
禁止,34,キンシ,名詞,禁止
騒い,34,サワイ,動詞,騒ぐ
ぶる,34,ブル,動詞,ぶる
はーい,34,ハーイ,感動詞,はーい
歩き疲れ,34,アルキツカレ,動詞,歩き疲れる
ぎこちない,34,ギコチナイ,形容詞,ぎこちない
ひそか,34,ヒソカ,名詞,ひそか
あらゆる,34,アラユル,連体詞,あらゆる
料理,34,リョウリ,名詞,料理
できるだけ,34,デキルダケ,副詞,できるだけ
かえ,34,カエ,動詞,かえる
醜く,34,ミニクク,形容詞,醜い
生かさ,34,イカサ,動詞,生かす
到底,34,トウテイ,副詞,到底
止まん,34,トマン,動詞,止まる
愛し合っ,34,アイシアッ,動詞,愛し合う
優等生,34,ユウトウセイ,名詞,優等生
掃除,34,ソウジ,名詞,掃除
スバル,34,スバル,名詞,スバル
個性,34,コセイ,名詞,個性
神話,34,シンワ,名詞,神話
みこ,34,ミコ,名詞,みこ
上がれ,34,アガレ,動詞,上がる
責任,34,セキニン,名詞,責任
くじら,34,クジラ,名詞,くじら
頷く,34,ウナズク,動詞,頷く
創り,34,ツクリ,動詞,創る
破,34,ヤブ,動詞,破る
彩,34,イロドリ,名詞,彩
ひとこと,34,ヒトコト,名詞,ひとこと
連れ去っ,34,ツレサッ,動詞,連れ去る
取り残さ,34,トリノコサ,動詞,取り残す
次第に,34,シダイニ,副詞,次第に
駆け抜ける,34,カケヌケル,動詞,駆け抜ける
式,34,シキ,名詞,式
おち,34,オチ,動詞,おちる
踊,34,オドリ,名詞,踊
あめ,34,アメ,名詞,あめ
休ん,34,ヤスン,動詞,休む
やく,34,ヤク,動詞,やく
まぶし,34,マブシ,形容詞,まぶしい
少,34,ショウ,接頭詞,少
焦り,34,アセリ,名詞,焦り
覆い,33,オオイ,動詞,覆う
浅はか,33,アサハカ,名詞,浅はか
変身,33,ヘンシン,名詞,変身
更,33,サラ,名詞,更
取り繕っ,33,トリツクロッ,動詞,取り繕う
うまい,33,ウマイ,形容詞,うまい
叫び声,33,サケビゴエ,名詞,叫び声
画,33,ガ,名詞,画
より,33,ヨリ,副詞,より
集,33,シュウ,名詞,集
バラード,33,バラード,名詞,バラード
いこう,33,イコウ,動詞,いこう
怯える,33,オビエル,動詞,怯える
レス,33,レス,名詞,レス
泣き笑い,33,ナキワライ,名詞,泣き笑い
注ぐ,33,ソソグ,動詞,注ぐ
とどけ,33,トドケ,動詞,とどける
重なり合う,33,カサナリアウ,動詞,重なり合う
首輪,33,クビワ,名詞,首輪
パラダイス,33,パラダイス,名詞,パラダイス
渇き,33,カワキ,動詞,渇く
遺影,33,イエイ,名詞,遺影
尽きる,33,ツキル,動詞,尽きる
潜っ,33,モグッ,動詞,潜る
戸,33,ト,名詞,戸
こりゃ,33,コリャ,感動詞,こりゃ
表せ,33,アラワセ,動詞,表せる
枝,33,エダ,名詞,枝
はなさ,33,ハナサ,動詞,はなす
ハゲ,33,ハゲ,名詞,ハゲ
成り,33,ナリ,動詞,成る
作ら,33,ツクラ,動詞,作る
越える,33,コエル,動詞,越える
眩い,33,マバユイ,形容詞,眩い
惑わ,33,マドワ,動詞,惑う
サイレン,33,サイレン,名詞,サイレン
分類,33,ブンルイ,名詞,分類
こういう,33,コウイウ,連体詞,こういう
呼べ,33,ヨベ,動詞,呼ぶ
口ずさん,33,クチズサン,動詞,口ずさむ
唄い,33,ウタイ,動詞,唄う
黄色,33,キイロ,名詞,黄色
スマイル,33,スマイル,名詞,スマイル
話しかけ,33,ハナシカケ,動詞,話しかける
からだ,33,カラダ,名詞,からだ
振り返り,33,フリカエリ,動詞,振り返る
眠く,33,ネムク,形容詞,眠い
歓び,33,ヨロコビ,名詞,歓び
勿体ぶっ,33,モッタイブッ,動詞,勿体ぶる
放た,33,ハナタ,動詞,放つ
手繰り,33,テグリ,名詞,手繰り
向かい風,33,ムカイカゼ,名詞,向かい風
柔,33,ヤワラ,名詞,柔
かせ,33,カセ,動詞,かせる
過ごせる,33,スゴセル,動詞,過ごせる
師,33,シ,名詞,師
ねむ,33,ネム,形容詞,ねむい
ジュース,33,ジュース,名詞,ジュース
お互い様,33,オタガイサマ,名詞,お互い様
カード,33,カード,名詞,カード
成る,33,ナル,動詞,成る
薫る,33,カオル,動詞,薫る
えがお,33,エガオ,名詞,えがお
嫌味,33,イヤミ,名詞,嫌味
ラッキー,33,ラッキー,名詞,ラッキー
有り得,33,アリエ,動詞,有り得る
染みる,33,シミル,動詞,染みる
比,33,ヒ,名詞,比
かっこ,33,カッコ,名詞,かっこ
大袈裟,33,オオゲサ,名詞,大袈裟
飲み干す,33,ノミホス,動詞,飲み干す
取り戻し,33,トリモドシ,動詞,取り戻す
おしまい,33,オシマイ,名詞,おしまい
実に,33,ジツニ,副詞,実に
云っ,33,ユッ,動詞,云う
ショー,33,ショー,名詞,ショー
貰っ,33,モラッ,動詞,貰う
歩め,33,アユメ,動詞,歩む
加減,33,カゲン,名詞,加減
取り戻せ,33,トリモドセ,動詞,取り戻せる
えと,33,エト,フィラー,えと
チリ,33,チリ,名詞,チリ
かわら,32,カワラ,名詞,かわら
藻,32,モ,名詞,藻
貸し,32,カシ,動詞,貸す
夕闇,32,ユウヤミ,名詞,夕闇
振り切っ,32,フリキッ,動詞,振り切る
足ら,32,タラ,動詞,足る
暗,32,クラ,形容詞,暗い
電子,32,デンシ,名詞,電子
磨い,32,ミガイ,動詞,磨く
買う,32,カウ,動詞,買う
初心,32,ショシン,名詞,初心
パンチ,32,パンチ,名詞,パンチ
呪う,32,ノロウ,動詞,呪う
落とせ,32,オトセ,動詞,落とせる
支度,32,シタク,名詞,支度
運ば,32,ハコバ,動詞,運ぶ
ブルース,32,ブルース,名詞,ブルース
悔やん,32,クヤン,動詞,悔やむ
華麗,32,カレイ,名詞,華麗
ちか,32,チカ,形容詞,ちかい
現象,32,ゲンショウ,名詞,現象
出かけ,32,デカケ,動詞,出かける
羨ましい,32,ウラヤマシイ,形容詞,羨ましい
すてき,32,ステキ,名詞,すてき
苦労,32,クロウ,名詞,苦労
廻っ,32,マワッ,動詞,廻る
舞い上がれ,32,マイアガレ,動詞,舞い上がる
砂浜,32,スナハマ,名詞,砂浜
汗だく,32,アセダク,名詞,汗だく
ヘッド,32,ヘッド,名詞,ヘッド
人達,32,ヒトタチ,名詞,人達
揺らめい,32,ユラメイ,動詞,揺らめく
そろ,32,ソロ,動詞,そる
様々,32,サマザマ,名詞,様々
ずる,32,ズル,動詞,ずる
不明,32,フメイ,名詞,不明
皿,32,サラ,名詞,皿
よって,32,ヨッテ,接続詞,よって
つづく,32,ツヅク,動詞,つづく
バス停,32,バステイ,名詞,バス停
ありったけ,32,アリッタケ,名詞,ありったけ
減る,32,ヘル,動詞,減る
情景,32,ジョウケイ,名詞,情景
天井,32,テンジョウ,名詞,天井
絵本,32,エホン,名詞,絵本
望遠鏡,32,ボウエンキョウ,名詞,望遠鏡
指摘,32,シテキ,名詞,指摘
急げ,32,イソゲ,動詞,急げる
フラミンゴ,32,フラミンゴ,名詞,フラミンゴ
主人,32,シュジン,名詞,主人
眩暈,32,メマイ,名詞,眩暈
踏みしめ,32,フミシメ,動詞,踏みしめる
使え,32,ツカエ,動詞,使える
咲け,32,サケ,動詞,咲く
油断,32,ユダン,名詞,油断
ミルク,32,ミルク,名詞,ミルク
無能,32,ムノウ,名詞,無能
廊下,32,ロウカ,名詞,廊下
ちっちゃな,32,チッチャナ,連体詞,ちっちゃな
平穏,32,ヘイオン,名詞,平穏
論破,32,ロンパ,名詞,論破
パーティ,32,パーティ,名詞,パーティ
変わり果て,32,カワリハテ,動詞,変わり果てる
すませ,32,スマセ,動詞,すませる
尚,32,ナオ,接続詞,尚
ファン,32,ファン,名詞,ファン
つづける,32,ツヅケル,動詞,つづける
便,32,ビン,名詞,便
しみ,32,シミ,動詞,しみる
別々,32,ベツベツ,名詞,別々
入ら,32,ハイラ,動詞,入る
ぢ,32,ヂ,名詞,ぢ
少なく,32,スクナク,形容詞,少ない
平均,32,ヘイキン,名詞,平均
雷鳴,32,ライメイ,名詞,雷鳴
金魚,32,キンギョ,名詞,金魚
触れ合う,32,フレアウ,動詞,触れ合う
金輪際,32,コンリンザイ,副詞,金輪際
つま先,32,ツマサキ,名詞,つま先
いきなり,32,イキナリ,副詞,いきなり
変化,32,ヘンカ,名詞,変化
ふさい,32,フサイ,動詞,ふさぐ
ブランコ,32,ブランコ,名詞,ブランコ
携え,32,タズサエ,動詞,携える
高速,32,コウソク,名詞,高速
出そ,32,ダソ,動詞,出す
事故,32,ジコ,名詞,事故
唯,32,タダ,副詞,唯
座り,32,スワリ,名詞,座り
せっかく,32,セッカク,副詞,せっかく
リン,32,リン,名詞,リン
作ろ,32,ツクロ,動詞,作る
状況,32,ジョウキョウ,名詞,状況
司,32,ツカサ,名詞,司
眠気,32,ネムケ,名詞,眠気
想え,32,オモエ,動詞,想う
尋ね,32,タズネ,動詞,尋ねる
削っ,32,ケズッ,動詞,削る
見下ろす,32,ミオロス,動詞,見下ろす
突き,32,ツキ,名詞,突き
あろ,32,アロ,動詞,ある
向き合う,32,ムキアウ,動詞,向き合う
虚像,32,キョゾウ,名詞,虚像
飢え,32,ウエ,動詞,飢える
鼓,32,コ,名詞,鼓
サーチライト,31,サーチライト,名詞,サーチライト
タン,31,タン,名詞,タン
苛立ち,31,イラダチ,動詞,苛立つ
対,31,タイ,名詞,対
チーズ,31,チーズ,名詞,チーズ
ビール,31,ビール,名詞,ビール
粉々,31,コナゴナ,名詞,粉々
飛ばさ,31,トバサ,動詞,飛ばす
ざわめく,31,ザワメク,動詞,ざわめく
温い,31,ヌクイ,形容詞,温い
干,31,ヒ,動詞,干る
自尊心,31,ジソンシン,名詞,自尊心
咲かす,31,サカス,動詞,咲かす
てっぺん,31,テッペン,名詞,てっぺん
微熱,31,ビネツ,名詞,微熱
美しき,31,ウツクシキ,形容詞,美しい
焼い,31,ヤイ,動詞,焼く
閃光,31,センコウ,名詞,閃光
悟っ,31,サトッ,動詞,悟る
置き,31,オキ,動詞,置く
なで,31,ナデ,動詞,なでる
ガンガン,31,ガンガン,副詞,ガンガン
リング,31,リング,名詞,リング
住ん,31,スン,動詞,住む
気高く,31,ケダカク,形容詞,気高い
っ子,31,ッコ,名詞,っ子
つぼみ,31,ツボミ,名詞,つぼみ
わな,31,ワナ,名詞,わな
来週,31,ライシュウ,名詞,来週
膨らむ,31,フクラム,動詞,膨らむ
様子,31,ヨウス,名詞,様子
香る,31,カオル,動詞,香る
王様,31,オウサマ,名詞,王様
正面,31,ショウメン,名詞,正面
晴れ渡る,31,ハレワタル,動詞,晴れ渡る
酩酊,31,メイテイ,名詞,酩酊
チャイム,31,チャイム,名詞,チャイム
韻,31,イン,名詞,韻
センセーション,31,センセーション,名詞,センセーション
耳障り,31,ミミザワリ,名詞,耳障り
過ごせ,31,スゴセ,動詞,過ごせる
掴める,31,ツカメル,動詞,掴める
やり直せる,31,ヤリナオセル,動詞,やり直せる
乞う,31,コウ,動詞,乞う
抜け出す,31,ヌケダス,動詞,抜け出す
切り裂く,31,キリサク,動詞,切り裂く
化し,31,カシ,動詞,化す
知らず,31,シラズ,名詞,知らず
逆らっ,31,サカラッ,動詞,逆らう
導き,31,ミチビキ,動詞,導く
代わる,31,カワル,動詞,代わる
お日様,31,オヒサマ,名詞,お日様
美学,31,ビガク,名詞,美学
どり,31,ドリ,動詞,どる
快,31,カイ,接頭詞,快
散りばめ,31,チリバメ,動詞,散りばめる
もしもし,31,モシモシ,感動詞,もしもし
ぬいぐるみ,31,ヌイグルミ,名詞,ぬいぐるみ
ビリビリ,31,ビリビリ,副詞,ビリビリ
盛り,31,ザカリ,名詞,盛り
懲り,31,コリ,動詞,懲りる
級,31,キュウ,名詞,級
舵,31,カジ,名詞,舵
うたう,31,ウタウ,動詞,うたう
しめ,31,シメ,動詞,しめる
捧ぐ,31,ササグ,動詞,捧ぐ
モード,31,モード,名詞,モード
ひらく,31,ヒラク,動詞,ひらく
欠点,31,ケッテン,名詞,欠点
割っ,31,ワッ,動詞,割る
しわくちゃ,31,シワクチャ,名詞,しわくちゃ
あたため,31,アタタメ,動詞,あたためる
見捨て,31,ミステ,動詞,見捨てる
はやい,31,ハヤイ,形容詞,はやい
通る,31,トオル,動詞,通る
返,31,カエ,動詞,返る
ピカピカ,31,ピカピカ,副詞,ピカピカ
銀行,31,ギンコウ,名詞,銀行
云い,31,イイ,動詞,云う
湧く,31,ワク,動詞,湧く
充分,31,ジュウブン,名詞,充分
あたたか,31,アタタカ,形容詞,あたたかい
花弁,31,ハナビラ,名詞,花弁
瓦礫,31,ガレキ,名詞,瓦礫
手の平,31,テノヒラ,名詞,手の平
犯,31,ハン,名詞,犯
延長,31,エンチョウ,名詞,延長
驚い,31,オドロイ,動詞,驚く
思い込ん,31,オモイコン,動詞,思い込む
組ん,31,クン,動詞,組む
渡れ,31,ワタレ,動詞,渡る
ラッシュ,31,ラッシュ,名詞,ラッシュ
真っ黒,31,マックロ,名詞,真っ黒
人事,31,ジンジ,名詞,人事
ネコ,31,ネコ,名詞,ネコ
雨宿り,31,アマヤドリ,名詞,雨宿り
謳っ,31,ウタッ,動詞,謳う
カス,31,カス,名詞,カス
洒落,31,シャレ,動詞,洒落る
立ち向かっ,31,タチムカッ,動詞,立ち向かう
速度,31,ソクド,名詞,速度
ね,31,ネ,動詞,ねる
分かつ,31,ワカツ,動詞,分かつ
感触,31,カンショク,名詞,感触
方向,31,ホウコウ,名詞,方向
幕開け,31,マクアケ,名詞,幕開け
スープ,31,スープ,名詞,スープ
応答,31,オウトウ,名詞,応答
練習,31,レンシュウ,名詞,練習
脚,31,アシ,名詞,脚
消え去っ,31,キエサッ,動詞,消え去る
禁断,31,キンダン,名詞,禁断
本日,31,ホンジツ,名詞,本日
生ぬるい,31,ナマヌルイ,形容詞,生ぬるい
成す,31,ナス,動詞,成す
なす,31,ナス,動詞,なす
攻め,31,セメ,名詞,攻め
つも,31,ツモ,動詞,つむ
うっ,31,ウッ,動詞,うつ
隔て,31,ヘダテ,動詞,隔てる
乗,31,ノ,動詞,乗る
暁,31,アカツキ,名詞,暁
食,31,ショク,名詞,食
脱い,31,ヌイ,動詞,脱ぐ
思い返す,30,オモイカエス,動詞,思い返す
割り切れ,30,ワリキレ,動詞,割り切れる
残響,30,ザンキョウ,名詞,残響
だまり,30,ダマリ,動詞,だまる
初音,30,ハツネ,名詞,初音
いちど,30,イチド,名詞,いちど
不気味,30,ブキミ,名詞,不気味
じき,30,ジキ,名詞,じき
ひき,30,ヒキ,名詞,ひき
北風,30,キタカゼ,名詞,北風
賽,30,サイ,名詞,賽
近付い,30,チカヅイ,動詞,近付く
バー,30,バー,名詞,バー
無用,30,ムヨウ,名詞,無用
じみ,30,ジミ,動詞,じみる
そらさ,30,ソラサ,動詞,そらす
奏,30,ソウ,名詞,奏
特,30,トク,名詞,特
地下,30,チカ,名詞,地下
スキップ,30,スキップ,名詞,スキップ
束ね,30,タバネ,動詞,束ねる
くたびれ,30,クタビレ,動詞,くたびれる
心情,30,シンジョウ,名詞,心情
失恋,30,シツレン,名詞,失恋
井戸,30,イド,名詞,井戸
やめよ,30,ヤメヨ,動詞,やめる
地上,30,チジョウ,名詞,地上
引け,30,ヒケ,動詞,引ける
狂おしい,30,クルオシイ,形容詞,狂おしい
プログラム,30,プログラム,名詞,プログラム
フリー,30,フリー,名詞,フリー
傍観,30,ボウカン,名詞,傍観
直に,30,ジカニ,副詞,直に
オオカミ,30,オオカミ,名詞,オオカミ
クセ,30,クセ,名詞,クセ
どき,30,ドキ,動詞,どく
等身,30,トウシン,名詞,等身
打っ,30,ウッ,動詞,打つ
そよ風,30,ソヨカゼ,名詞,そよ風
街路,30,ガイロ,名詞,街路
信仰,30,シンコウ,名詞,信仰
走り抜け,30,ハシリヌケ,動詞,走り抜ける
次に,30,ツギニ,接続詞,次に
手首,30,テクビ,名詞,手首
キメ,30,キメ,動詞,キメる
伸びる,30,ノビル,動詞,伸びる
苦悩,30,クノウ,名詞,苦悩
彩り,30,イロドリ,名詞,彩り
判断,30,ハンダン,名詞,判断
込,30,コミ,名詞,込
位置,30,イチ,名詞,位置
荒,30,アラ,名詞,荒
仏,30,ボトケ,名詞,仏
攫っ,30,サラッ,動詞,攫う
経て,30,タテ,動詞,経つ
陽射し,30,ヒザシ,名詞,陽射し
番号,30,バンゴウ,名詞,番号
塗り替え,30,ヌリカエ,動詞,塗り替える
フィクション,30,フィクション,名詞,フィクション
布団,30,フトン,名詞,布団
空虚,30,クウキョ,名詞,空虚
ほどい,30,ホドイ,動詞,ほどく
つのる,30,ツノル,動詞,つのる
いどん,30,イドン,動詞,いどむ
振,30,フ,動詞,振る
オーロラ,30,オーロラ,名詞,オーロラ
かなう,30,カナウ,動詞,かなう
逃がさ,30,ニガサ,動詞,逃がす
散らす,30,チラス,動詞,散らす
人知れず,30,ヒトシレズ,副詞,人知れず
コンクリート,30,コンクリート,名詞,コンクリート
移り,30,ウツリ,動詞,移る
かっこいい,30,カッコイイ,形容詞,かっこいい
暴力,30,ボウリョク,名詞,暴力
ままごと,30,ママゴト,名詞,ままごと
ティー,30,ティー,名詞,ティー
清,30,キヨシ,名詞,清
励まし,30,ハゲマシ,動詞,励ます
鉛,30,ナマリ,名詞,鉛
遊ば,30,アソバ,動詞,遊ぶ
鞄,30,カバン,名詞,鞄
塩,30,シオ,名詞,塩
断頭,30,ダントウ,名詞,断頭
伝,30,デン,名詞,伝
無謀,30,ムボウ,名詞,無謀
札,30,サツ,名詞,札
しみる,30,シミル,動詞,しみる
ピンク,30,ピンク,名詞,ピンク
とろけ,30,トロケ,動詞,とろける
遺伝子,30,イデンシ,名詞,遺伝子
対象,30,タイショウ,名詞,対象
求,30,モトメ,名詞,求
傲慢,30,ゴウマン,名詞,傲慢
意外,30,イガイ,名詞,意外
つけよ,30,ツケヨ,動詞,つける
シャッター,30,シャッター,名詞,シャッター
小惑星,30,ショウワクセイ,名詞,小惑星
なつかしい,30,ナツカシイ,形容詞,なつかしい
試さ,30,タメサ,動詞,試す
ヶ月,30,カゲツ,名詞,ヶ月
はしゃぐ,30,ハシャグ,動詞,はしゃぐ
一生懸命,30,イッショウケンメイ,名詞,一生懸命
エイリアン,30,エイリアン,名詞,エイリアン
朽ち果てよ,30,クチハテヨ,動詞,朽ち果てる
気合,30,キアイ,名詞,気合
谷,30,タニ,名詞,谷
雨雲,30,アマグモ,名詞,雨雲
巡り合う,30,メグリアウ,動詞,巡り合う
循環,30,ジュンカン,名詞,循環
すり,30,スリ,動詞,する
凍える,30,コゴエル,動詞,凍える
名言,30,メイゲン,名詞,名言
到来,30,トウライ,名詞,到来
張り詰め,30,ハリツメ,動詞,張り詰める
手遅れ,30,テオクレ,名詞,手遅れ
殴り,30,ナグリ,動詞,殴る
こたえ,30,コタエ,動詞,こたえる
錆,30,サビ,名詞,錆
インペリアル,30,インペリアル,名詞,インペリアル
照れくさい,30,テレクサイ,形容詞,照れくさい
晴天,30,セイテン,名詞,晴天
ライム,30,ライム,名詞,ライム
妬み,30,ネタミ,動詞,妬む
あったかい,30,アッタカイ,形容詞,あったかい
作品,30,サクヒン,名詞,作品
涼風,30,スズカゼ,名詞,涼風
風の音,30,カゼノオト,名詞,風の音
皮肉,30,ヒニク,名詞,皮肉
真っ向,30,マッコウ,名詞,真っ向
たしかに,30,タシカニ,副詞,たしかに
無知,30,ムチ,名詞,無知
引き換え,30,ヒキカエ,名詞,引き換え
湧き,30,ワキ,動詞,湧く
持て,30,モテ,動詞,持てる
カメラ,30,カメラ,名詞,カメラ
セット,30,セット,名詞,セット
織りなす,30,オリナス,動詞,織りなす
予測,29,ヨソク,名詞,予測
渦巻く,29,ウズマク,動詞,渦巻く
オリジナル,29,オリジナル,名詞,オリジナル
終焉,29,シュウエン,名詞,終焉
絶頂,29,ゼッチョウ,名詞,絶頂
暮らす,29,クラス,動詞,暮らす
つて,29,ツテ,名詞,つて
当,29,トウ,接頭詞,当
飛び込め,29,トビコメ,動詞,飛び込める
悩め,29,ナヤメ,動詞,悩む
お父さん,29,オトウサン,名詞,お父さん
見た目,29,ミタメ,名詞,見た目
くるん,29,クルン,動詞,くるむ
恥じらっ,29,ハジラッ,動詞,恥じらう
抱き合っ,29,ダキアッ,動詞,抱き合う
ちっとも,29,チットモ,副詞,ちっとも
彼氏,29,カレシ,名詞,彼氏
願い事,29,ネガイゴト,名詞,願い事
のんびり,29,ノンビリ,副詞,のんびり
蒔い,29,マイ,動詞,蒔く
差し込む,29,サシコム,動詞,差し込む
更に,29,サラニ,副詞,更に
組,29,クミ,名詞,組
飛ぼ,29,トボ,動詞,飛ぶ
人気,29,ニンキ,名詞,人気
やたら,29,ヤタラ,副詞,やたら
うつむく,29,ウツムク,動詞,うつむく
宿っ,29,ヤドッ,動詞,宿る
束の間,29,ツカノマ,名詞,束の間
放題,29,ホウダイ,名詞,放題
手前,29,テマエ,名詞,手前
必勝,29,ヒッショウ,名詞,必勝
おかしく,29,オカシク,形容詞,おかしい
ルカ,29,ルカ,名詞,ルカ
合間,29,アイマ,名詞,合間
プリンセス,29,プリンセス,名詞,プリンセス
宿題,29,シュクダイ,名詞,宿題
あがい,29,アガイ,動詞,あがく
道連れ,29,ミチヅレ,名詞,道連れ
問答,29,モンドウ,名詞,問答
難い,29,ガタイ,形容詞,難い
もうこ,29,モウコ,名詞,もうこ
動かし,29,ウゴカシ,動詞,動かす
ヒビ,29,ヒビ,名詞,ヒビ
っぽ,29,ッポ,形容詞,っぽい
溜め,29,タメ,動詞,溜める
共有,29,キョウユウ,名詞,共有
乱し,29,ミダシ,動詞,乱す
擦っ,29,コスッ,動詞,擦る
巻か,29,マカ,動詞,巻く
